index,title,original_language,release_date,popularity,vote_average,vote_count
4511,Summertime,fr,19-08-2015,20.469,6.7,308
4512,The Bear,en,21-10-1988,20.466,7,426
4513,Good Luck Chuck,en,21-09-2007,20.463,5.9,1356
4514,Police Story,cn,14-12-1985,20.45,7.5,743
4515,Satyaprem Ki Katha,hi,29-06-2023,20.444,6.7,7
4516,Clouds,en,09-10-2020,20.444,8.3,946
4517,Snakes on a Plane,en,17-08-2006,20.439,5.4,1580
4518,Centurion,en,15-02-2010,20.437,6.2,1262
4519,Planet Terror,en,06-04-2007,20.437,6.6,3144
4520,Batman Beyond: Return of the Joker,en,12-12-2000,20.433,7.3,1010
4521,The Second Wife,it,05-11-1998,20.427,5.3,12
4522,Playing with Love,it,17-05-1977,20.426,5.2,61
4523,Cheaper by the Dozen,en,18-03-2022,20.425,6.5,223
4524,In Bruges,en,08-02-2008,20.417,7.5,4582
4525,The 5th Wave,en,14-01-2016,20.416,5.9,5454
4526,Naked Killer,cn,03-12-1992,20.416,5.5,54
4527,Vivarium,en,07-09-2019,20.412,6.1,1761
4528,Trollhunters: Rise of the Titans,en,21-07-2021,20.407,7.7,285
4529,Romeo Must Die,en,22-03-2000,20.407,6.2,1062
4530,Sin Nombre,es,20-03-2009,20.406,7.6,600
4531,Rudolph the Red-Nosed Reindeer,en,06-12-1964,20.405,7.4,497
4532,Ben 10: Race Against Time,en,11-02-2008,20.403,5.7,278
4533,Don't Blame the Kid,es,13-05-2016,20.4,7.7,578
4534,Bridge of Spies,en,15-10-2015,20.399,7.2,6372
4535,Tenacious D in The Pick of Destiny,en,22-11-2006,20.399,6.7,1416
4536,Whitney Houston: I Wanna Dance with Somebody,en,20-12-2022,20.397,7,305
4537,Panic Room,en,29-03-2002,20.397,6.8,4479
4538,The Green Hornet,en,12-01-2011,20.389,5.6,2962
4539,Undergods,en,21-11-2020,20.386,6,44
4540,Midnight in Paris,en,11-05-2011,20.385,7.5,6779
4541,Back to School,en,13-06-1986,20.384,6.3,378
4542,The Texas Chainsaw Massacre 2,en,22-08-1986,20.382,5.6,732
4543,Penguin Bloom,en,21-01-2021,20.381,7,251
4544,Justice League: Crisis on Two Earths,en,23-02-2010,20.376,7.3,629
4545,Wild Hogs,en,02-03-2007,20.374,5.9,2099
4546,Escape from L.A.,en,09-08-1996,20.374,5.8,1275
4547,With Every Heartbeat,sv,29-07-2011,20.37,7.1,305
4548,Pokémon: Jirachi - Wish Maker,ja,19-07-2003,20.362,6.6,237
4549,The Brothers Grimm,en,26-08-2005,20.36,5.8,2524
4550,Words Bubble Up Like Soda Pop,ja,22-07-2021,20.359,7.5,229
4551,The Cobbler,en,11-09-2014,17.008,5.8,1515
4552,Emanuelle and the Last Cannibals,it,21-10-1977,20.351,5,87
4553,"Batman: The Dark Knight Returns, Part 2",en,03-01-2013,20.349,7.9,1319
4554,National Lampoon's Christmas Vacation,en,30-11-1989,20.348,7.2,2058
4555,Women in Cellblock 9,de,17-03-1978,20.346,4.5,25
4556,The Last Stand,en,12-01-2013,20.338,6,2533
4557,Once Upon a Time: The Super Heroes,fr,23-12-2001,20.33,6.7,25
4558,Black Snake Moan,en,31-12-2006,20.33,6.9,787
4559,Dragonheart: Battle for the Heartfire,en,09-07-2017,20.328,6.1,196
4560,An Affair: My Sister-in-law's Love,ko,26-07-2018,20.327,1,1
4561,The Good Shepherd,en,11-12-2006,20.326,6.3,1026
4562,Dennis the Menace Strikes Again!,en,14-07-1998,20.325,5.4,201
4563,Convoy,en,27-06-1978,20.323,6.3,312
4564,Batman: Hush,en,19-07-2019,20.316,7.2,775
4565,Radio,en,24-10-2003,20.313,7.1,610
4566,El Sueño de Ariana,es,12-02-2022,20.305,0,0
4567,The Black Cauldron,en,24-07-1985,20.296,6.4,1114
4568,The Stolen Princess,uk,07-03-2018,20.293,6.8,128
4569,Blazing Saddles,en,07-02-1974,20.291,7.3,1634
4570,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",ja,01-03-2008,20.29,7.1,119
4571,Game of Love,en,14-10-2022,20.289,6.3,140
4572,Fireworks,ja,18-08-2017,20.289,6.6,299
4573,Te amo... talvéz no!,es,,20.285,0,0
4574,Finding ʻOhana,en,29-01-2021,20.285,6.3,362
4575,High School Musical 2,en,17-08-2007,20.285,6.5,3515
4576,Accepted,en,18-08-2006,20.285,6.4,1426
4577,Abducted by My Teacher: The Elizabeth Thomas Story,en,12-08-2023,20.282,10,1
4578,Summer,tl,20-01-2023,20.28,4.8,5
4579,Gantz,ja,29-11-2010,20.279,6.6,266
4580,Collateral Beauty,en,06-12-2016,20.272,7.2,5101
4581,Pokémon: Giratina and the Sky Warrior,ja,19-07-2008,20.27,6.8,219
4582,The Last Temptation of Christ,en,28-05-1988,20.27,7.2,921
4583,Thunder Force,en,09-04-2021,20.269,5.6,1125
4584,Love & Passion,it,25-02-1987,20.266,5.3,38
4585,Osmosis Jones,en,10-08-2001,20.263,6.5,942
4586,A League of Their Own,en,01-07-1992,20.261,7.2,1244
4587,Gretel & Hansel,en,30-01-2020,20.25,6,1266
4588,Kangaroo Jack,en,17-01-2003,20.249,5.2,836
4589,The More Love Grows,en,18-08-2023,20.247,0,0
4590,A Dangerous Method,en,30-09-2011,20.24,6.3,1882
4591,Censor,en,11-06-2021,20.234,5.8,304
4592,Selena,en,21-03-1997,20.23,7.7,1137
4593,Cannibal Ferox,it,24-04-1981,20.23,5.4,220
4594,Shark Attack 3: Megalodon,en,26-11-2002,20.222,4.8,118
4595,The Assassin,ko,22-02-2023,20.22,4.9,6
4596,Steins;Gate: The Movie - Load Region of Déjà Vu,ja,20-04-2013,20.215,7.6,281
4597,A River Runs Through It,en,09-10-1992,20.213,7,920
4598,Paddington,en,24-11-2014,20.207,7.1,3310
4599,Cats & Dogs 3: Paws Unite,en,02-10-2020,20.204,6.3,190
4600,The Color Purple,en,18-12-1985,20.203,7.8,1521
4601,Killers,en,04-06-2010,20.199,5.9,2043
4602,The Misfits,en,01-02-1961,20.198,6.9,321
4603,Fear Street: 1666,en,14-07-2021,20.196,7.2,1475
4604,The Little Hours,en,30-06-2017,20.194,5.8,503
4605,Beautiful Creatures,en,13-02-2013,20.194,6,2700
4606,Blow,en,04-04-2001,20.191,7.4,3963
4607,Rounders,en,11-09-1998,20.19,7,1532
4608,The Mauritanian,en,10-02-2021,20.186,7.4,904
4609,Hoodwinked!,en,16-12-2005,20.186,6.2,1600
4610,When Harry Met Sally...,en,21-07-1989,20.186,7.4,3612
4611,The Anthem of the Heart,ja,19-09-2015,20.183,7.6,357
4612,Student Council Staff Members Movie 2,ja,01-01-2021,20.179,6.2,10
4613,Marrowbone,en,27-10-2017,20.179,7.2,1300
4614,One Piece: Curse of the Sacred Sword,ja,06-03-2004,20.179,7,179
4615,Viking Quest,en,07-10-2014,20.175,4.2,32
4616,Ninja,en,22-10-2009,20.175,5.9,291
4617,Racing Stripes,en,06-01-2005,20.174,5.9,556
4618,The Covenant,en,08-09-2006,20.172,5.5,908
4619,Triple Threat,en,19-03-2019,20.169,6.4,513
4620,That Thing You Do!,en,04-10-1996,20.166,6.9,740
4621,Sleeping with the Enemy,en,13-01-1991,20.166,6.5,936
4622,The Resistance,tr,17-04-2022,20.161,6.5,2
4623,The Man from Nowhere,ko,04-08-2010,20.159,7.7,1152
4624,Dog Day Afternoon,en,01-08-1975,20.158,7.8,2622
4625,A Cinderella Story: Christmas Wish,en,15-10-2019,19.036,6.4,643
4626,Kidnap,en,16-06-2017,20.148,6.2,1207
4627,Odd Thomas,en,29-01-2013,20.146,6.9,1176
4628,Donnie Brasco,en,27-02-1997,20.146,7.5,3990
4629,Causeway,en,28-10-2022,20.145,6.7,327
4630,Seven Years in Tibet,en,12-09-1997,20.141,7.2,2564
4631,The Larva Island Movie,en,23-07-2020,20.138,7.2,163
4632,Downton Abbey,en,12-09-2019,20.138,7.1,1015
4633,Warm Bodies,en,31-01-2013,20.128,6.4,5730
4634,The Jungle Book 2,en,07-02-2003,20.126,5.9,1055
4635,"Angus, Thongs and Perfect Snogging",en,25-07-2008,20.126,6.4,741
4636,Alexander,en,21-11-2004,20.124,5.9,2996
4637,Citizen Kane,en,17-04-1941,20.123,8,4975
4638,Emma.,en,13-02-2020,20.119,7,1551
4639,Buddy's Mom,ko,12-11-2015,20.117,4.6,7
4640,Buddy's Mom,ko,12-11-2015,20.117,4.6,7
4641,City of Angels,en,10-04-1998,20.117,6.8,1910
4642,The Reaping,en,05-04-2007,20.115,5.7,735
4643,The Boxtrolls,en,10-09-2014,20.091,6.7,1537
4644,The People We Hate at the Wedding,en,17-11-2022,20.088,6.3,139
4645,The Bob's Burgers Movie,en,26-05-2022,20.088,7,240
4646,Absolutely Anything,en,26-06-2015,20.082,5.9,1291
4647,A Bridge Too Far,en,15-06-1977,20.081,7.2,697
4648,Parasyte: Part 1,ja,29-11-2014,20.08,7.1,231
4649,Assassin's Creed,en,21-12-2016,20.077,5.4,7292
4650,Cairo Conspiracy,ar,26-10-2022,20.076,6.8,145
4651,Lovelace,en,08-08-2013,20.076,6,619
4652,Freaky,en,12-11-2020,20.075,6.6,1377
4653,Cool Runnings,en,01-10-1993,20.072,7,1820
4654,They Live,en,23-11-1988,20.067,7.3,2643
4655,To Live and Die in L.A.,en,01-11-1985,20.064,7.1,535
4656,Live and Let Die,en,27-06-1973,20.064,6.5,1800
4657,Private Property,en,13-05-2022,20.061,4.2,15
4658,The Quick and the Dead,en,09-02-1995,20.061,6.5,1518
4659,Inside Man: Most Wanted,en,24-09-2019,20.059,6.6,251
4660,Mysterious Skin,en,30-03-2005,20.058,7.6,869
4661,Roujin Z,ja,14-09-1991,20.057,6.5,93
4662,27 Dresses,en,10-01-2008,20.057,6.4,2896
4663,An Unforgettable Year – Summer,pt,01-06-2023,20.056,6.3,20
4664,Wolf Children,ja,21-07-2012,20.055,8.2,2072
4665,Rough Night,en,15-06-2017,20.054,5.7,1879
4666,Pizza Dare 1,ko,10-04-2020,20.052,6.8,5
4667,Rocco,fr,30-11-2016,20.052,5.6,154
4668,Palm Springs,en,10-07-2020,20.049,7.3,2625
4669,Chernobyl Diaries,en,24-05-2012,20.044,5.2,1450
4670,The Negotiator,en,29-07-1998,20.042,7.1,1842
4671,Weird: The Al Yankovic Story,en,08-09-2022,20.038,6.8,264
4672,Newness,en,03-11-2017,14.263,6.1,567
4673,Detective Conan: Dimensional Sniper,ja,19-04-2014,19.859,6.9,95
4674,A Man Apart,en,04-04-2003,20.029,6.1,799
4675,Nada que ver,es,02-03-2023,20.023,8,39
4676,Buffy the Vampire Slayer,en,24-07-1992,20.022,5.6,715
4677,The Pink Panther,en,10-02-2006,20.02,5.8,1763
4678,Olaf's Frozen Adventure,en,27-10-2017,20.019,6.4,1349
4679,Darkest Hour,en,22-11-2017,20.019,7.3,4722
4680,Butchers,en,15-10-2020,20.016,5,181
4681,Premium Rush,en,24-08-2012,20.015,6.3,1934
4682,A Goofy Movie,en,07-04-1995,20.01,7,1571
4683,The Green Knight,en,29-07-2021,20,6.6,1573
4684,Fantasy Island,en,12-02-2020,20,5.8,2214
4685,Battle Royale,ja,16-12-2000,19.999,7.3,3033
4686,From Here to Eternity,en,28-08-1953,19.997,7.3,553
4687,To the Bone,en,22-01-2017,19.996,7.2,3342
4688,Yongju Valley,ko,19-11-2015,19.996,1,1
4689,Jeremiah Johnson,en,10-09-1972,19.994,7.3,523
4690,Rise of the Legend,zh,20-11-2014,19.993,6.2,153
4691,Dracula: Dead and Loving It,en,22-12-1995,19.992,6,857
4692,Dark Shadows,en,09-05-2012,19.99,6,6710
4693,Risky Business,en,05-08-1983,19.988,6.6,1132
4694,Set It Up,en,15-06-2018,19.983,6.9,2448
4695,Spawn,en,31-07-1997,19.98,5.4,1200
4696,Showroom,tl,11-11-2022,19.978,4.7,3
4697,Killing Them Softly,en,30-07-2012,19.977,6,1945
4698,Another 48 Hrs.,en,08-06-1990,19.977,6,752
4699,Kiss of the Dragon,en,06-07-2001,19.977,6.8,1049
4700,Kill 'em All,en,06-06-2017,19.973,5.2,97
4701,Doraemon: Nobita's Treasure Island,ja,03-03-2018,19.971,7.1,80
4702,Backdraft,en,24-05-1991,19.971,6.6,1253
4703,Memoirs of a Geisha,en,06-12-2005,19.971,7.7,2756
4704,Wasabi,fr,31-10-2001,19.964,6.6,1123
4705,The Wraith,en,21-11-1986,19.963,6.4,383
4706,Code 8,en,06-12-2019,19.958,6.2,1587
4707,The Story of O,fr,27-08-1975,19.958,5.7,128
4708,The Swan Princess,en,18-11-1994,19.953,6.6,894
4709,The X Files,en,19-06-1998,19.952,6.8,1422
4710,Fear,en,12-04-1996,19.95,6.4,693
4711,Nomadland,en,29-01-2021,19.948,7.2,2636
4712,Luther,en,29-10-2003,19.944,6.4,285
4713,Police Academy 4: Citizens on Patrol,en,02-04-1987,19.943,5.5,1030
4714,Flavors of Youth,zh,04-08-2018,19.938,6.9,510
4715,How It Ends,en,13-07-2018,19.938,5.3,1774
4716,Cinderella Man,en,02-06-2005,19.935,7.5,1967
4717,The Longest Ride,en,09-04-2015,19.934,7.6,2925
4718,Larva Pendant,ko,25-05-2022,19.932,7.3,75
4719,District B13,fr,09-11-2004,19.93,6.8,1656
4720,Uptown Girls,en,15-08-2003,19.927,6.6,727
4721,Crayon Shin-chan: The Hidden Treasure of the Buri Buri Kingdom,ja,23-04-1994,19.926,6.9,33
4722,Dirty Harry,en,23-12-1971,19.925,7.5,2165
4723,All Dogs Go to Heaven,en,17-11-1989,19.923,6.7,925
4724,80 for Brady,en,03-02-2023,19.92,6.5,90
4725,The Best of Me,en,15-10-2014,20.243,7.5,2410
4726,Orca,en,22-07-1977,19.92,6.1,347
4727,Barbershop,en,01-04-2002,19.919,6.3,409
4728,Her Blue Sky,ja,11-10-2019,19.917,7.1,100
4729,Body Snatchers,en,09-06-1993,19.917,6.1,343
4730,Bula,tl,02-09-2022,19.914,6.7,9
4731,Death Wish II,en,20-02-1982,19.909,6.3,382
4732,The Count of Monte-Cristo,en,31-10-1975,19.908,6.7,128
4733,Ball Red Daughter-in-law,ko,16-10-2020,19.905,3,2
4734,Godzilla: The Planet Eater,ja,09-11-2018,19.905,6.4,272
4735,The Dry,en,01-01-2021,19.904,6.8,492
4736,Ravage,en,14-08-2020,19.902,5.5,61
4737,Heavy Metal,en,07-08-1981,19.897,6.5,601
4738,The Wailing,ko,12-05-2016,19.896,7.3,1478
4739,Eraserhead,en,19-03-1977,19.888,7.4,2154
4740,Night in Paradise,ko,03-09-2020,19.884,6.9,212
4741,Bedazzled,en,19-10-2000,19.882,6,1670
4742,Poison Ivy: The New Seduction,en,20-10-1997,19.879,4.8,87
4743,Down Periscope,en,01-03-1996,19.877,6.3,392
4744,Blade Runner: Black Out 2022,en,26-09-2017,19.874,7.2,337
4745,A Babysitter's Guide to Monster Hunting,en,14-10-2020,19.871,6.2,271
4746,The Ruins,en,02-04-2008,19.868,6,1050
4747,The Christmas Chronicles,en,22-11-2018,19.857,7.2,1923
4748,Slither,en,31-03-2006,19.855,6.5,1335
4749,Iron Mask,ru,16-08-2019,19.852,6.2,371
4750,The Yin-Yang Master: Dream of Eternity,zh,24-12-2020,19.85,7.4,168
4751,Hard Target 2,en,14-07-2016,19.845,6.1,219
4752,Boogeyman,en,04-02-2005,19.845,5,691
4753,Balto,en,22-12-1995,19.843,7.3,1874
4754,A Bad Moms Christmas,en,04-08-2017,19.842,6.3,1904
4755,Leprechaun,en,08-01-1993,19.84,5.6,679
4756,Chronicles of the Ghostly Tribe,zh,30-09-2015,19.836,6,152
4757,School Of Youth 2: The Unofficial History of the Gisaeng Break-In,ko,03-03-2016,19.833,1.7,3
4758,The Call,ko,27-11-2020,19.828,7.5,671
4759,Great Expectations,en,30-01-1998,19.827,6.6,537
4760,The Scorpion King 4: Quest for Power,en,09-01-2015,19.825,5.2,189
4761,Obsession,nl,04-06-2015,19.819,6.4,193
4762,Instructions Not Included,es,20-07-2013,19.819,7.7,799
4763,Hamburger Hill,en,07-08-1987,19.816,6.5,391
4764,Okja,en,28-06-2017,19.812,7.4,3959
4765,Porky's,en,13-11-1981,19.812,6.4,761
4766,Scooby-Doo! and the Cyber Chase,en,09-10-2001,19.81,7.3,468
4767,Open Season 2,en,24-09-2008,19.81,5.9,1103
4768,Phineas and Ferb: The Movie: Across the 2nd Dimension,en,05-08-2011,19.809,7,481
4769,The Woods,en,25-09-2006,19.806,5.7,224
4770,Super 8,en,08-06-2011,19.805,6.8,6150
4771,Lagaslas,tl,17-02-2023,19.799,4.7,3
4772,The Salvation,da,22-05-2014,19.799,6.4,750
4773,I'm Thinking of Ending Things,en,28-08-2020,19.795,6.6,1697
4774,Brazil,en,20-02-1985,19.795,7.7,2990
4775,Megan,en,14-03-2020,19.792,5.9,18
4776,Judge Dredd,en,30-06-1995,19.792,5.8,2155
4777,Driven,en,15-08-2019,19.789,6.3,184
4778,You Get Me,en,19-06-2017,19.784,5.6,1630
4779,Silence,en,22-12-2016,19.779,7.1,2799
4780,Catch the Fair One,en,11-02-2022,19.773,6.5,60
4781,The Bush,es,18-08-2022,19.771,6.5,4
4782,Ninja: Shadow of a Tear,en,27-12-2013,19.771,6.5,319
4783,The Unbearable Lightness of Being,en,05-02-1988,19.767,6.9,392
4784,An Affair: Kind Daughters-in-law,ko,25-01-2018,19.765,1,1
4785,Shoot 'Em Up,en,26-07-2007,19.765,6.4,1699
4786,Jexi,en,10-10-2019,19.76,6.9,1067
4787,Another Round,da,24-09-2020,19.759,7.7,2729
4788,Once Upon a Time in China II,cn,16-04-1992,19.759,7.1,214
4789,Tokyo Decadence,ja,06-01-1992,19.757,5.9,80
4790,Johnny English Strikes Again,en,13-09-2018,19.754,6.3,2240
4791,Airport '77,en,11-03-1977,19.754,5.6,253
4792,Dragon Ball: Mystical Adventure,ja,09-07-1988,19.752,6.8,211
4793,Robin-B-Hood,cn,28-09-2006,19.752,7,514
4794,Greta,en,06-09-2018,19.749,6.6,1189
4795,A History of Violence,en,23-09-2005,19.744,7.2,2871
4796,Gabriel's Rapture: Part I,en,24-11-2021,19.742,8,142
4797,From Up on Poppy Hill,ja,16-07-2011,19.741,7.5,1522
4798,Shame,en,02-10-2011,19.741,7,2880
4799,Boogeyman 3,en,17-10-2008,19.741,5.2,197
4800,Pink Flamingos,en,17-03-1972,19.74,6.2,433
4801,Trolls Band Together,en,12-10-2023,19.734,0,0
4802,Son of Batman,en,13-05-2014,16.464,7,947
4803,Crash,en,06-05-2005,19.733,7.2,3158
4804,Wonder Woman: Bloodlines,en,04-10-2019,19.732,7,434
4805,All About Sex,en,16-01-2020,19.729,6.3,30
4806,Les Misérables,en,18-12-2012,19.721,7.3,4946
4807,Professor Marston and the Wonder Women,en,13-10-2017,19.718,7.2,779
4808,The Number 23,en,23-02-2007,19.714,6.4,2947
4809,Halloween H20: 20 Years Later,en,05-08-1998,19.708,6,1455
4810,Resurrected,en,27-04-2023,19.707,5.5,13
4811,The Assignment,en,08-06-2016,19.703,5.5,460
4812,The Crazies,en,26-02-2010,19.699,6.2,1839
4813,War Horse,en,25-12-2011,19.691,7.3,3132
4814,For Whom the Bell Tolls,en,12-07-1943,19.688,6.6,165
4815,Youth Topia,de,17-08-2023,19.687,0,0
4816,The Animatrix,en,09-05-2003,19.687,7.2,1406
4817,"The Boy, the Mole, the Fox and the Horse",en,25-12-2022,19.684,8.4,376
4818,Daddy Day Care,en,09-05-2003,19.681,5.9,1947
4819,Groot's Pursuit,en,10-08-2022,19.68,7.1,226
4820,Inferno of Torture,ja,02-05-1969,19.68,5.8,21
4821,Unforgetful Holiday,cn,01-10-1992,19.679,5.7,3
4822,Ordinary People,ko,07-11-2018,19.671,6.7,26
4823,Below,en,11-08-2002,19.67,6,391
4824,The Next Karate Kid,en,18-07-1994,19.668,5.3,910
4825,The Wolfman,en,10-02-2010,19.667,5.8,1819
4826,Obi-Wan Kenobi: A Jedi's Return,en,08-09-2022,19.663,6.8,939
4827,Jungle,en,27-06-2017,19.658,6.6,1747
4828,Krull,en,29-07-1983,19.653,6,473
4829,Finding You,en,13-05-2021,19.652,6.9,130
4830,Mr. Nice Guy,cn,31-01-1997,19.652,6.5,586
4831,My Girl 2,en,11-02-1994,19.649,5.9,421
4832,The Searchers,en,07-05-1956,19.649,7.7,1221
4833,Stagecoach,en,03-03-1939,19.649,7.7,973
4834,The Spy Who Dumped Me,en,02-08-2018,19.634,6.4,2062
4835,Dakota,en,01-04-2022,19.633,5.8,22
4836,Europa Report,en,27-06-2013,19.632,6.3,1245
4837,The Banker,en,06-03-2020,19.627,7.6,759
4838,Long Shot,en,02-05-2019,19.627,6.7,2423
4839,Water and Fire,tr,15-11-2013,19.627,7.9,134
4840,Blue Streak,en,17-09-1999,19.627,6.5,1327
4841,Swapping: My Friend's Wife 2,ko,19-07-2018,19.626,0,0
4842,Milf,en,17-10-2010,19.626,4.7,76
4843,Royalteen,no,17-08-2022,19.625,5.8,151
4844,Miracle in Cell No. 7,ko,23-01-2013,19.625,7.9,382
4845,Homestead,en,03-03-2023,19.624,4.8,8
4846,Officetel - Skillful Ones,ko,07-06-2019,19.616,0,0
4847,Doraemon: Nobita's Dinosaur,ja,04-03-2006,19.615,7.4,76
4848,The White Haired Witch of Lunar Kingdom,zh,14-02-2014,16.216,6,84
4849,The Vigil,en,01-07-2020,19.608,5.8,327
4850,Firestarter,en,11-05-1984,19.607,6.3,598
4851,Nutty Professor II: The Klumps,en,27-07-2000,19.606,5,1180
4852,Dangerous Game: The Legacy Murders,en,21-10-2022,19.605,7.2,56
4853,Outlaw King,en,06-09-2018,19.601,6.8,1404
4854,Chemical Hearts,en,21-08-2020,19.6,7.4,1058
4855,Misery,en,30-11-1990,19.599,7.8,4115
4856,Quick Change,en,13-07-1990,19.596,6.7,311
4857,"Extremely Wicked, Shockingly Evil and Vile",en,02-05-2019,19.59,7,3098
4858,Two Is a Family,fr,07-12-2016,19.59,7.7,2827
4859,The Scorpion King 2: Rise of a Warrior,en,19-07-2008,19.586,4.6,523
4860,Like Stars on Earth,hi,21-12-2007,19.585,8,1020
4861,Popeye,en,12-12-1980,19.583,5.4,538
4862,Taxi 2,fr,25-03-2000,19.582,6.2,1558
4863,The English Patient,en,14-11-1996,19.581,7.2,1910
4864,Men Behind the Sun,cn,01-12-1988,19.579,6.1,172
4865,7 Days in Entebbe,en,15-03-2018,12.895,5.8,372
4866,Escobar: Paradise Lost,en,11-10-2014,18.118,6.3,731
4867,Shortbus,en,04-10-2006,19.578,6.3,443
4868,The Birds,en,28-03-1963,19.575,7.5,3633
4869,The Room,en,12-09-2019,19.574,6.4,819
4870,Ghost in the Shell 2: Innocence,ja,06-03-2004,19.572,7.3,749
4871,The Spiritual Love,cn,26-11-1992,19.564,5.5,1
4872,Lady and the Tramp,en,12-11-2019,19.56,7.2,1440
4873,The Rundown,en,26-09-2003,19.557,6.4,1791
4874,Rape Zombie: Lust of the Dead 2,ja,23-03-2013,16.617,4.6,31
4875,The Omen,en,25-06-1976,19.553,7.4,1778
4876,Empire of Light,en,09-12-2022,19.552,6.6,368
4877,Dreamcatcher,en,21-03-2003,19.546,5.6,1592
4878,Unstoppable,ko,22-11-2018,19.545,7.6,106
4879,Dangerous Liaisons,fr,08-07-2022,19.539,5.9,249
4880,Hands of Stone,en,26-08-2016,19.536,6.4,349
4881,Halloween 5: The Revenge of Michael Myers,en,12-10-1989,19.535,5.4,1044
4882,Taxi 3,fr,29-01-2003,19.535,5.7,1357
4883,Ace Ventura: When Nature Calls,en,10-11-1995,19.534,6.3,3745
4884,Antonio's Secret,en,13-02-2008,19.533,5.8,14
4885,1492: Conquest of Paradise,en,09-10-1992,19.531,6.2,730
4886,The Monkey King,en,11-08-2023,19.53,10,1
4887,24 Hours to Live,en,26-10-2017,19.523,5.9,588
4888,Stealth,en,27-07-2005,19.523,5.4,927
4889,Magic Mike XXL,en,01-07-2015,19.521,6.2,1666
4890,Men in Hope,cs,25-08-2011,19.518,7.5,148
4891,Elite Squad,pt,12-10-2007,19.512,8.1,2096
4892,Jade Stalk,zh,11-12-1999,19.509,2,1
4893,Room Salon College Girls,ko,29-03-2018,19.509,8,1
4894,Cosmoball,ru,27-08-2020,19.509,6.4,197
4895,Solar Impact,en,15-11-2019,19.506,3.2,13
4896,S.W.A.T.: Under Siege,en,01-08-2017,19.506,5.8,330
4897,The Scorpion King,en,18-04-2002,19.506,5.6,2850
4898,Ritual,nl,07-09-2022,19.503,7.1,58
4899,Till,en,14-10-2022,19.502,7.4,179
4900,Dragonheart 3: The Sorcerer's Curse,en,24-02-2015,19.502,5.4,219
4901,Yogi Bear,en,17-12-2010,19.502,5.6,797
4902,Journey to the Center of the Earth,en,15-12-1959,19.502,7,397
4903,Swordfish,en,07-06-2001,19.502,6.2,2415
4904,Mac & Devin Go to High School,en,03-07-2012,19.501,6.5,388
4905,Aloha Scooby-Doo!,en,08-02-2005,19.498,7.2,382
4906,Double Jeopardy,en,24-09-1999,19.497,6.5,1133
4907,Forgetting Sarah Marshall,en,17-04-2008,19.495,6.5,3103
4908,Little Shop of Horrors,en,19-12-1986,19.493,6.9,1272
4909,The Rugrats Movie,en,20-11-1998,19.492,6.2,517
4910,Ice Age: The Great Egg-Scapade,en,19-03-2016,19.49,6.4,433
4911,Gorgeous,cn,12-02-1999,19.484,6.3,321
4912,Kids,en,28-07-1995,19.483,6.9,984
4913,The Frighteners,en,18-07-1996,19.481,6.9,1349
4914,Pamasahe,tl,09-12-2022,19.48,6.4,13
4915,Aftermath,en,04-08-2021,19.48,6.3,530
4916,Sex and Death 101,en,15-06-2007,19.475,6.1,251
4917,The Sum of All Fears,en,31-05-2002,19.475,6.3,1531
4918,Cyborg,en,07-04-1989,19.474,5.6,616
4919,End of the Road,en,09-09-2022,19.473,6.1,279
4920,Last Shift,en,25-10-2014,19.472,6.3,520
4921,Cafrune,es,07-07-2022,19.469,3,1
4922,Welcome to the Jungle,en,27-04-2013,19.469,5.1,378
4923,Next,en,25-04-2007,19.464,6,2673
4924,Catch the Bullet,en,10-09-2021,19.451,5.7,90
4925,The Whole Truth,th,02-12-2021,19.449,6.5,201
4926,Escape from the Planet of the Apes,en,20-05-1971,19.448,6.3,897
4927,November,fr,05-10-2022,19.447,7.2,545
4928,Giant,en,08-11-1956,19.446,7.6,609
4929,Mary and The Witch's Flower,ja,08-07-2017,19.445,7.1,691
4930,Marie Antoinette,en,24-05-2006,19.436,6.7,2445
4931,Magnolia,en,10-12-1999,19.434,7.7,3195
4932,Born to Race: Fast Track,en,20-03-2014,19.432,6.4,89
4933,Lamborghini: The Man Behind the Legend,en,18-11-2022,19.429,5.9,233
4934,Catman,zh,18-05-2021,19.426,7.5,202
4935,She's All That,en,29-01-1999,19.426,6.3,1909
4936,Trigger Point,en,23-04-2021,19.425,6.3,140
4937,No Tears for the Dead,ko,04-06-2014,19.425,7,177
4938,Gunpowder Milkshake,en,14-07-2021,19.424,6.4,841
4939,The Birdcage,en,08-03-1996,19.423,7,994
4940,Street Fighter,en,23-12-1994,19.419,4.5,1307
4941,Under Her Control,es,29-04-2022,19.417,5.3,83
4942,Parasyte: Part 2,ja,25-04-2015,19.417,7.1,156
4943,The Valet,fr,29-03-2006,19.417,6,470
4944,Crimson Peak,en,13-10-2015,19.415,6.6,4625
4945,Eungyo,ko,25-04-2012,19.411,7,74
4946,"Aguirre, the Wrath of God",de,29-12-1972,19.407,7.5,948
4947,Heathers,en,31-03-1989,19.405,7.3,1499
4948,Sanctum,en,03-02-2011,19.403,6,949
4949,National Lampoon's European Vacation,en,25-07-1985,19.401,6.2,754
4950,Female Doctor: Flesh Slave,ja,08-03-1986,19.4,4.4,5
